Address,Balance
5CiMHoSP96NDb7AEgyayqLUCCeAt4nqEN9doBjhiWbat6tDp,226880000000000
5GWrsyTYJVEQKkuzRh6C4j69x1PhVZ1miN6pergCJqaZp7Vd,189946000000000
5GFNtx7wsALztyJCcLi43uBhqBfMbVtHBs24C1hj3Sh7o9Fd,42210000000000
5Cp7f9YZXfay86SZXj2gAARisVmR3YXH7nHpxrSoLaYoShDD,63315000000000
5GYsAYbuXQFK7ajk7GrCcRKCHTW7dhcQJbvNv1pVK1r6xXGz,105525000000000
5FC5zR4YvgxsHvSC5EMLH98Vwnn4CuYsXfkBpPdB3xc2GmUt,316577000000000
5CXEo56v3sbtRUGoMRRxNZGkpvu4gGVZkQ3vk5sKtxmHQ2w9,73868000000000
5FA8PrYhFM3zTFG41aSENjS2D4eQ1f7WS4HgUeXi1cfj4Vuv,21105000000000
5HDtJvf7NXm1BdU36Duk7rTGHEM1RKvm1fWxuTWHcb7bX8bn,63315000000000
5FcQhVdNSYUgariNMWmZ4tcJa9mCnUYNwHrxbvtrAsJJRCnq,175907000000000
5GTkLBxTg61WPtTHUKQV8LUhpTQKcYmgQT5B1S4RH6sajbcU,211051000000000
5CPtiUZBqU4bkdJujsxUEPuko7DoXz422dhEBUQjAd24ty8F,45880000000000
5En7MJhMhnasxD52p8YGSsXuT8tyLpduuq4jTU2bK6tdBm52,142512000000000
5ED3zqBsqyCeWWpwu5G786zP8YBVAHu4NPJDBYTFMEi9cvbJ,154067000000000
5E5JUJszSvbNwBsAtY6u119ZBQBE8Rvfgk5p8GqU4V2T57h8,74184000000000
5F4GFnjz7FamCYhyN3CfcHmA8qPcFNSa9ptBSapHBFEVNYqq,822707000000000
5Hj9XpGchyCYzhnecPAVMnFyjS6FZjUBTjRmYyitWsdJ5eUG,7914000000000
5ERnSigc9NUb6TY8yUgXGe8TVXT2LSPwtJuHNBqx5nwa1uj9,2638149000000000
5DCY6tQZnvFySeA3b6kN42B2uYmjRVKprGe5rCDcgvwWJUhe,107021000000000
5ENzuYss9R3tJzCFbTp3MnoMwShTMpCP9dQ5DQ7Ve6SQdCpL,84420792000000000
5H6UyPrZVw5YiN3ARuWbWMVXWjBVq9qLxK2WDxGnQVYTcE21,4839421000000000
5F4EPdF1odrQnBVo6esNJ5M44YCwJYDLDEns4B2wraGWHQwc,529423000000000
5DoaL41Yvq3caE4wcyTaETrbuNvfeLJu8tKnfUGFJpXYsai5,22529000000000
5GTppaizT6RcpA2xt85f7oKZ1xy2qqeVhBJ9Enw4msYvbbG5,84420000000000
5GSd3YzPNqdCdxGTgCLX7SGyqLRrYCUxxcFaTHHv72nPsrxK,57534000000000
5EXG9iBYDZPWCjFhPuvHoaRiFPxdFGkUgFiqVPNmMxCuNfHg,527629000000000
5HjiEDfk9f4YenWuFpFjbc67ZWJr5A5paKzifc8BpHsSfX24,352181000000000
5HdJjEB9fevBMRjyrfGwS4guaWcqVPAbj5g6f8zn2u5uxCxx,2872755000000000
5ECnZ2j8L1cua4bbZzxJ5YMkdjMGWerBWes57Pd8uG2pBw8E,105525000000000
5D1qrTdWP7ZmWMpXwbQozg4Gctuwh2Hv4Gt5WSrW9GFXpgvy,316577000000000
5G6mJB94ho3ynPRFNsLSFNYbxcmai9abwkTe69WrFTYtvW3t,11063282000000000
5Hm8hDhfZj75WCYP5hLF4YesqdiPPmJ7Y7zYedUTJSrkAVyh,52762000000000
5CyTap5oN59dp1cYo927GRqwGQwwJsSSnca7yVpyh4GJpbQj,52762000000000
5H1DvSQVg8wGHiiP2ugdHQQUU7TUNAcL7cg6XYsnAFCDz63f,5276000000000
5EEbAZppPCNHyLZ4x5afRwNpZt4vea1Ps5ywfPj7fnXuSNqR,52762000000000
5FmrnAAyd9BvdTfB8VvgSrhp8tiUWushBY2PBhEYosXhdSBC,18442000000000
5F9URTb54JPNtZ9J4NLVfQ7zXYzvcPx52yk5Xsy7KT9VWRbC,2110519000000000
5CSasafZPeLqfEvxScR7QmhT7i4B2QPQy2sTAHicFHLp4kTC,45376000000000
5E6Nx7NSdbob6TVMiPAm365mFDzMdJtggvADXzWSL8XkC7YL,1107811000000000
